Run,Result
1,1469
2,1399
3,1341
4,1293
5,1362
6,1340
7,1363
8,361
9,1454
10,1408
11,1369
12,1326
13,1374
14,2821
15,1359
16,1381
17,1338
18,1315
19,1359
20,1345
21,1287
22,1337
23,1337
24,1441
25,1349
26,1297
27,1338
28,1363
29,1374
30,313
31,1358
32,1360
33,1373
34,1343
35,1357
36,1351
37,1327
38,1355
39,1308
40,1368
41,1353
42,1312
43,1324
44,1422
45,1357
46,1364
47,1354
48,1363
49,1325
50,1322
51,1428
52,1352
53,1315
54,380
55,1415
56,1299
57,1357
58,1304
59,1333
60,1306
61,1353
62,1314
63,1620
64,2754
65,1599
66,1782
67,1526
68,1332
69,1390
70,1369
71,1329
72,1345
73,1343
74,1359
75,1402
76,389
77,1344
78,1433
79,1488
80,1492
81,1423
82,1393
83,1347
84,1353
85,1436
86,1381
87,1472
88,1659
89,1685
90,1414
91,1407
92,1392
93,1554
94,1650
95,1521
96,1650
97,1353
98,638
99,1351
100,1366
