Run,Result
1,366
2,353
3,422
4,396
5,359
6,361
7,380
8,362
9,2925
10,350
11,367
12,368
13,355
14,349
15,352
16,354
17,364
18,367
19,354
20,347
21,358
22,384
23,407
24,388
25,377
26,376
27,373
28,422
29,365
30,462
31,371
32,392
33,388
34,423
35,497
36,530
37,459
38,542
39,472
40,507
41,442
42,397
43,355
44,392
45,376
46,374
47,372
48,381
49,372
50,410
51,364
52,362
53,353
54,361
55,397
56,389
57,411
58,419
59,424
60,399
61,407
62,383
63,442
64,379
65,415
66,429
67,383
68,424
69,511
70,491
71,569
72,574
73,665
74,405
75,409
76,411
77,398
78,393
79,395
80,399
81,385
82,384
83,363
84,373
85,369
86,356
87,377
88,2780
89,369
90,370
91,360
92,419
93,389
94,382
95,369
96,377
97,378
98,369
99,386
100,371
101,388
102,378
103,381
104,381
105,386
106,401
107,367
108,355
109,390
110,419
111,403
112,377
113,371
114,392
115,364
116,364
117,368
118,358
119,394
120,407
121,429
122,374
123,399
124,389
125,373
126,355
127,390
128,420
129,404
130,390
131,360
132,353
133,380
134,374
135,361
136,404
137,410
138,422
139,357
140,358
141,369
142,357
143,367
144,433
145,415
146,391
147,394
148,370
149,369
150,403
