Run,Result
1,1223
2,729
3,822
4,615
5,636
6,610
7,643
8,643
9,578
10,566
11,588
12,571
13,584
14,561
15,603
16,578
17,574
18,570
19,567
20,574
21,569
22,571
23,582
24,575
25,560
26,603
27,573
28,723
29,604
30,602
31,580
32,568
33,557
34,601
35,560
36,512
37,560
38,579
39,575
40,591
41,612
42,581
43,588
44,577
45,584
46,597
47,567
48,600
49,588
50,554
51,556
52,573
53,563
54,548
55,570
56,561
57,621
58,656
59,647
60,613
61,599
62,582
63,570
64,621
65,594
66,604
67,605
68,555
69,584
70,577
71,564
72,598
73,612
74,564
75,622
76,575
77,641
78,569
79,566
80,630
81,573
82,612
83,583
84,574
85,580
86,561
87,597
88,558
89,565
90,610
91,540
92,559
93,569
94,568
95,581
96,572
97,570
98,574
99,610
100,605
